PNC;Invoice No;Invoice date;pos;Art Descr;Quantity;Unit;Price;Value;Origin;Net weight;Article Code;TaricNo
513 05 58-00;4647569;15.12.2020;118;SCREW;10,00;ST;0,44;4,40;IT;0,05;;73181568
513 56 04-01;4647569;15.12.2020;119;DAMPER;5,00;ST;1,85;9,25;JP;0,05;;84679900
513 78 93-01;4647569;15.12.2020;120;PUMP;5,00;ST;2,19;10,95;JP;0,02;;84679900
515 98 22-01;4647569;15.12.2020;121;CHOKE;10,00;ST;0,78;7,80;SE;0,04;;84679100
519 65 30-57;4647569;15.12.2020;122;PINION;10,00;ST;1,54;15,40;FR;0,30;;84834025
519 65 30-58;4647569;15.12.2020;123;BELT;5,00;ST;5,96;29,80;FR;0,54;;40103300
519 65 30-72;4647569;15.12.2020;124;SPACER SLEEVE;10,00;ST;2,21;22,10;FR;0,12;;82042000
521 88 79-01;4647569;15.12.2020;125;THROTTLE CABLE ASSY;10,00;ST;4,33;43,30;SE;0,02;;73121020
522 42 88-01;4647569;15.12.2020;126;FRONT HANDLE ASSY;2,00;ST;11,39;22,78;SE;0,51;;84679100
522 67 75-01;4647569;15.12.2020;127;HAND GUARD;5,00;ST;7,59;37,95;SE;0,67;;84679100
522 99 01-01;4647569;15.12.2020;128;PISTON RING;5,00;ST;2,50;12,50;DE;0,01;;84099100
523 04 91-01;4647569;15.12.2020;129;DEFLECTOR;5,00;ST;1,56;7,80;SE;0,11;;84679100
523 08 55-01;4647569;15.12.2020;130;DEFLECTION LIMITER;5,00;ST;1,33;6,65;SE;0,02;;84679100
525 39 12-01;4647569;15.12.2020;131;RADIAL SEAL;20,00;ST;2,69;53,80;IT;0,14;;40169300
525 43 20-01;4647569;15.12.2020;132;STARTER ASSY;3,00;ST;16,74;50,22;JP;0,80;;84679900
525 62 89-01;4647569;15.12.2020;133;CHAIN BRAKE ASS Y FRT ADJ;5,00;ST;11,77;58,85;US;1,28;;84679100
525 75 51-01;4647569;15.12.2020;134;SCREW ITXSCFM;10,00;ST;0,35;3,50;US;0,04;;73181568
530 01 58-26;4647569;15.12.2020;135;PIN;10,00;ST;0,33;3,30;US;0,03;;84679100
530 01 61-10;4647569;15.12.2020;136;SCREW;10,00;ST;0,60;6,00;CN;0,08;;73181558
530 01 61-54;4647569;15.12.2020;137;SCREW;30,00;ST;0,44;13,20;CN;0,15;;73181568
530 01 64-49;4647569;15.12.2020;138;SCREW;10,00;ST;0,28;2,80;CN;0,02;;73181568
530 01 91-70;4647569;15.12.2020;139;SEALING;10,00;ST;2,76;27,60;CN;0,08;;40169300
530 01 92-05;4647569;15.12.2020;140;GASKET;5,00;ST;0,93;4,65;CN;0,01;;40169300
530 02 11-80;4647569;15.12.2020;141;SPRING;20,00;ST;1,12;22,40;US;0,42;;73202081
530 02 98-05;4647569;15.12.2020;142;PISTON RING;10,00;ST;1,39;13,90;IN;0,02;;84099100
530 02 98-11;4647569;15.12.2020;143;AIR FILTER;5,00;ST;2,05;10,25;US;0,05;;84213100
530 02 98-14;4647569;15.12.2020;144;INDUCTION PIPE;10,00;ST;1,70;17,00;TW;0,06;;84679100
530 02 98-70;4647569;15.12.2020;145;INSULATOR;5,00;ST;2,15;10,75;TW;0,08;;84679100
530 03 11-16;4647569;15.12.2020;146;PULLER;1,00;ST;1,49;1,49;US;0,19;;82055980
530 03 55-60;4647569;15.12.2020;147;CARB. ADJ. TOOL;20,00;ST;2,82;56,40;US;0,58;;82054000
530 03 77-93;4647569;15.12.2020;148;AIR FILTER;10,00;ST;1,09;10,90;CN;0,03;;84213100
